						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YJR090C	GRR1	ubiquitin-dependent_protein_degradation*_	ubiquitin--protein_ligase*_	None	None	0.841	0.523	0.46	0.6	0.624	0.545	0.644	0.667	0.608	0.8	0.604	0.973	0.615	1.018	0.758	0.717	1.083	0.736
YJR091C	JSN1	biological_process_unknown_	molecular_function_unknown_	None	None	0.811	0.57	0.566	0.563	0.627	0.627	0.746	0.827	0.565	0.961	0.545	0.985	0.651	1.003	0.796	0.651	0.894	0.724
YJR093C	FIP1	mRNA_polyadenylation_	molecular_function_unknown_	None	None	0.705	0.431	0.437	0.484	0.663	0.755	0.83	0.899	0.711	0.979	0.608	0.794	0.668	1.009	0.861	0.627	1.179	0.772
YJR098C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.141	0.73	0.77	0.867	0.964	1.035	1.029	0.924	0.766	1.335	0.655	1.43	0.803	1.714	0.915	0.907	1.38	0.976
YJR099W	YUH1	deubiquitylation_	ubiquitin-specific_protease_	None	None	0.846	0.518	0.604	0.599	0.793	0.688	0.851	0.731	0.642	0.747	0.648	0.813	0.773	0.908	0.828	0.521	1.022	0.606
YJR100C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.899	0.708	Null	0.568	0.696	0.81	0.821	0.738	0.651	Null	0.567	0.891	0.69	1.181	0.735	0.519	0.391	0.654
YJR101W	RSM26	biological_process_unknown_	molecular_function_unknown_	None	None	0.729	0.483	0.648	0.649	0.736	0.617	0.72	0.67	0.496	0.612	0.625	0.746	0.684	1.055	0.895	0.483	1.084	0.599
YJR102C	VPS25	biological_process_unknown_	molecular_function_unknown_	None	None	0.722	0.858	0.589	0.717	0.539	0.959	0.603	0.925	0.599	1.004	0.696	0.952	0.897	Null	0.734	0.802	1.056	0.8
YJR103W	URA8	biological_process_unknown_	CTP_synthase_	None	None	0.792	0.546	0.547	0.618	0.658	0.669	0.622	0.631	0.714	0.799	0.707	0.77	0.76	1.169	0.9	0.825	0.759	0.604
YJR104C	SOD1	biological_process_unknown_	superoxide_dismutase_	None	None	0.738	0.748	0.602	0.831	0.632	0.872	0.654	0.695	0.705	1.278	0.82	1.079	0.97	1.336	1.357	0.84	1.131	0.805
YJR105W	ADO1	biological_process_unknown_	molecular_function_unknown_	None	None	0.865	0.567	0.575	0.704	0.645	0.657	0.628	0.644	0.684	0.824	0.762	0.915	0.897	1.417	1.057	0.819	0.797	0.677
YJR106W	ECM27	biological_process_unknown_	molecular_function_unknown_	None	None	0.638	0.612	0.5	0.611	0.675	0.815	0.67	0.592	0.595	0.989	0.623	0.855	0.735	Null	0.637	0.656	0.661	0.65
YJR107W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.768	0.637	0.627	0.671	0.658	0.695	0.702	0.637	0.627	0.772	0.701	0.873	0.831	1.163	0.843	0.81	0.703	0.582
YJR109C	CPA2	arginine_biosynthesis_	carbamoyl-phosphate_synthase_(glutamine-hydrolyzing)_	None	None	1.241	2.14	2.277	2.591	1.676	1.875	1.465	1.834	1.403	2.662	1.431	1.885	1.346	2.588	1.944	1.725	1.695	1.695
YJR110W	None	biological_process_unknown_	molecular_function_unknown_	S/G2	None	0.587	0.528	Null	0.437	Null	0.877	0.699	0.639	0.639	1.269	0.571	0.832	0.661	Null	0.652	0.663	0.753	0.713
YJR111C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.842	Null	0.476	0.731	0.926	0.795	0.688	0.791	0.65	0.757	0.628	0.779	0.787	1.258	0.804	0.722	0.824	0.628
YJR113C	RSM7	biological_process_unknown_	molecular_function_unknown_	None	None	0.708	0.564	0.643	0.813	0.729	0.848	0.825	0.757	0.686	0.799	0.66	0.866	0.808	1.154	0.835	0.641	0.746	0.608
YJR114W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.725	0.541	0.682	0.518	0.72	0.672	0.894	0.632	0.646	0.902	0.557	0.98	0.696	1.024	0.736	0.586	0.899	0.609
YJR115W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.714	Null	0.618	0.562	0.68	0.566	0.727	0.578	0.547	0.76	0.559	0.812	0.719	0.918	0.803	0.475	0.938	0.561
YJR116W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.662	0.498	0.566	0.452	0.809	0.573	0.716	0.515	0.548	0.756	0.487	0.798	0.702	1.131	0.675	0.52	0.832	0.556
YJR117W	STE24	biological_process_unknown_	molecular_function_unknown_	None	None	0.799	0.539	0.774	0.846	1.013	0.714	0.913	0.69	0.607	0.676	0.585	0.82	0.843	0.97	0.931	0.49	1.041	0.556
YJR118C	ILM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.615	0.62	0.598	0.579	0.821	0.922	0.875	0.788	0.585	0.741	0.518	0.841	0.854	1.11	0.77	0.515	1.131	0.606
YJR119C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.776	0.636	Null	0.721	0.87	0.564	0.766	Null	0.625	0.962	0.501	0.751	0.834	1.128	1.156	0.664	0.938	Null
YJR120W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.852	0.512	0.659	0.855	0.699	0.566	0.643	0.609	0.592	0.623	0.591	0.934	0.645	0.889	0.871	0.589	0.944	0.708
YJR121W	ATP2	ATP_synthesis_coupled_proton_transport_	hydrogen-transporting_two-sector_ATPase_	None	None	0.894	0.576	0.736	0.936	1.152	0.869	0.985	0.845	0.649	0.931	0.785	1.093	0.928	1.265	1.121	0.715	1.064	0.683
YJR122W	CAF17	biological_process_unknown_	molecular_function_unknown_	None	None	0.658	0.581	0.639	Null	0.68	0.695	0.72	0.67	0.598	Null	0.565	0.754	0.712	1.013	0.696	0.542	0.965	0.601
YJR123W	RPS5	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.97	0.557	0.582	0.815	0.893	0.784	0.868	0.753	0.72	0.872	0.784	0.96	0.903	1.418	1.324	0.77	1.376	0.853
YJR124C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.678	0.325	0.371	Null	0.552	0.491	0.759	0.488	0.532	0.646	0.472	0.658	0.668	0.98	0.713	0.474	0.938	0.595
YJR125C	ENT3	actin_filament_organization*_	cytoskeletal_adaptor_	None	None	0.72	0.624	0.714	0.697	0.725	0.701	0.784	0.786	0.558	0.885	0.598	0.815	0.63	0.885	0.785	0.56	1.181	0.612
YJR126C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.667	0.626	0.56	0.686	0.564	0.709	0.619	0.582	0.617	1.262	0.701	1.036	0.702	1.397	0.705	0.629	0.733	0.705
YJR127C	ZMS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.612	0.528	0.708	0.889	0.77	0.62	0.583	0.568	0.545	0.77	0.901	0.965	0.807	1.129	0.912	0.715	0.694	0.565
YJR131W	MNS1	biological_process_unknown_	"mannosyl-oligosaccharide_1,2-alpha-mannosidase_"	None	None	0.78	0.497	0.63	0.724	0.716	0.84	0.677	0.774	0.652	0.791	0.713	0.955	0.729	1.19	0.871	0.705	0.741	0.615
YJR132W	NMD5	biological_process_unknown_	molecular_function_unknown_	None	None	0.805	0.464	0.396	0.503	Null	0.742	0.725	0.732	0.731	1.377	0.767	1.146	0.664	1.309	0.711	0.771	0.825	0.828
YJR133W	XPT1	biological_process_unknown_	molecular_function_unknown_	None	None	0.769	0.507	0.61	0.838	0.656	0.718	0.712	0.75	0.751	0.86	0.783	0.864	0.767	1.219	0.88	0.654	0.776	0.626
YJR134C	SGM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.563	0.428	0.392	0.712	0.663	0.85	0.908	0.802	0.795	1.302	0.77	0.883	0.943	1.337	1.186	0.884	1.026	0.804
YJR137C	ECM17	cell_wall_organization_and_biogenesis*_	sulfite_reductase_(NADPH)_	S	None	0.765	0.512	0.566	0.726	0.758	0.927	1.068	0.984	0.891	0.907	0.937	1.013	0.703	1.285	1.164	0.969	0.788	0.693
YJR138W	IML1	biological_process_unknown_	molecular_function_unknown_	None	None	0.725	0.439	0.449	Null	0.626	0.554	0.708	0.536	0.578	0.706	0.543	0.813	0.639	1.049	0.69	0.57	0.789	Null
YJR139C	HOM6	biological_process_unknown_	5-amino-6-(5-phosphoribosylamino)uracil_reductase_	None	None	0.954	0.645	0.711	0.764	0.959	0.788	1.106	0.928	0.79	0.758	0.76	0.869	0.94	0.948	1.149	0.646	1.395	0.656
YJR140C	HIR3	transcription_	molecular_function_unknown_	None	None	0.713	0.563	0.495	Null	0.709	0.647	0.848	0.642	0.684	1.084	0.7	0.957	0.703	0.955	0.776	0.704	0.916	Null
YJR142W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.869	0.527	0.687	Null	0.829	0.645	0.821	0.551	0.576	0.694	0.507	0.759	0.695	0.881	0.778	0.506	0.827	0.574
YJR143C	PMT4	O-linked_glycosylation_	dolichyl-phosphate-mannose--protein_mannosyltransferase_	None	None	0.637	0.358	0.504	0.734	1.055	0.927	1.065	0.762	0.569	0.643	0.592	0.91	0.899	1.207	1.285	0.725	1.152	0.545
YJR144W	MGM101	mitochondrial_genome_maintenance_	molecular_function_unknown_	None	None	0.588	0.364	0.558	0.45	0.627	0.52	0.684	0.411	0.493	Null	0.57	0.859	0.736	0.921	0.626	0.535	0.694	0.537
YJR145C	RPS4A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	1.023	0.601	0.67	0.71	0.812	0.69	0.873	0.811	0.715	0.949	0.707	0.913	0.89	1.392	1.216	0.725	1.382	0.924
YJR146W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.596	0.384	0.487	0.32	0.541	0.488	0.671	0.386	0.467	0.603	0.465	0.693	0.696	0.901	0.647	0.512	0.8	0.482
YJR147W	HMS2	pseudohyphal_growth_	transcription_factor_	None	None	0.547	0.337	0.367	0.283	0.522	0.397	0.535	0.446	0.324	0.473	0.337	0.701	0.644	0.941	0.726	0.523	0.823	0.368
YJR148W	BAT2	biological_process_unknown_	branched-chain_amino_acid_aminotransferase_	G1	None	0.622	0.566	0.793	0.825	0.96	1.03	1.075	0.84	0.852	1.01	0.809	0.892	0.78	0.783	0.797	0.528	1.054	0.621
YJR149W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.458	0.553	1.19	1.239	0.958	0.664	0.705	0.761	0.583	0.818	0.492	0.751	0.589	0.897	0.721	0.552	1.085	0.62
YJR150C	DAN1	biological_process_unknown_	molecular_function_unknown_	None	None	0.678	0.669	0.452	0.671	Null	0.821	0.681	0.707	0.519	1.119	0.525	0.758	0.68	0.88	0.62	0.51	0.906	0.44
YJR151C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.675	0.453	0.415	0.813	0.744	0.744	0.621	0.702	0.604	0.839	0.821	0.938	0.668	1.37	0.938	0.874	0.77	0.55
YJR153W	PGU1	biological_process_unknown_	polygalacturonase_	None	None	4.399	0.74	0.64	0.887	Null	0.815	0.581	0.766	0.664	0.82	0.708	0.971	0.748	Null	0.95	0.602	0.82	Null
YJR155W	AAD10	biological_process_unknown_	molecular_function_unknown_	G1	None	0.979	0.964	0.76	0.934	0.836	0.702	0.575	Null	0.583	0.871	0.945	1.02	0.857	1.342	0.963	0.74	Null	0.628
YJR160C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.877	Null	0.897	0.808	0.761	0.651	0.68	Null	0.547	0.721	0.556	1.059	0.727	1.168	0.719	0.647	1.16	Null
YJR161C	COS5	biological_process_unknown_	molecular_function_unknown_	None	None	0.912	0.775	1.084	1.153	1.171	0.939	0.856	0.793	0.811	0.957	1.024	1.202	1.079	1.803	1.401	0.944	0.96	0.653
YJR162C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.61	0.491	0.725	0.707	0.631	0.631	0.635	0.5	0.538	0.827	0.556	0.955	0.781	0.776	0.631	0.44	0.847	0.571
YKL001C	MET14	methionine_metabolism*_	adenylsulfate_kinase_	S	None	1.24	0.816	1.062	0.982	0.902	1.479	2.567	1.751	1.116	0.97	1.103	1.134	0.946	1.235	1.211	0.628	1.562	0.755
YKL002W	DID4	biological_process_unknown_	molecular_function_unknown_	None	None	0.925	0.571	0.772	0.723	0.702	0.687	0.897	0.609	0.684	0.931	0.64	0.861	0.748	0.963	0.743	0.579	1.015	0.611
YKL003C	MRP17	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.922	0.661	0.747	0.788	0.618	0.945	0.982	0.854	0.69	0.799	0.658	0.748	0.794	0.966	1.013	0.552	1.277	0.511
YKL004W	AUR1	sphingolipid_metabolism_	molecular_function_unknown_	S/G2	None	0.629	0.254	0.327	0.343	0.589	0.628	1.154	0.635	0.795	0.787	0.586	0.652	0.725	0.919	0.871	0.617	1.209	0.992
YKL006W	RPL14A	protein_biosynthesis_	structural_protein_of_ribosome*_	None	None	1.122	0.693	0.731	0.841	0.97	1.198	0.867	0.827	0.743	1.122	0.913	0.928	0.938	1.367	1.448	0.73	1.632	0.688
YKL007W	CAP1	cell_wall_organization_and_biogenesis*_	F-actin_capping_	None	None	0.902	0.513	0.818	0.747	0.756	Null	0.748	0.553	0.551	0.836	0.561	0.82	0.901	0.716	0.747	0.474	0.943	0.527
YKL008C	LAC1	biological_process_unknown_	molecular_function_unknown_	S	None	0.524	0.353	0.415	0.486	0.968	1.04	0.87	0.565	0.446	0.504	0.475	0.874	0.982	1.266	1.125	0.643	0.943	0.378
YKL009W	MRT4	biological_process_unknown_	molecular_function_unknown_	None	None	0.899	0.226	0.301	0.413	0.657	Null	0.82	0.6	0.669	0.865	0.539	0.685	0.942	0.949	0.715	0.538	1.047	0.636
YKL010C	UFD4	polyubiquitylation*_	ubiquitin--protein_ligase_	None	None	0.769	Null	0.673	0.726	1.02	1.165	0.797	0.736	0.674	1.004	0.864	0.935	0.678	1.155	1.071	0.731	1.116	0.714
YKL011C	CCE1	tRNA_processing_	molecular_function_unknown_	None	None	0.529	0.495	0.458	0.601	Null	0.872	0.563	0.765	0.559	1.012	0.471	Null	0.645	1.015	0.639	0.601	0.859	0.641
YKL012W	PRP40	mRNA_splicing_	molecular_function_unknown_	None	None	0.827	0.568	0.639	0.819	0.828	0.816	0.669	0.75	0.725	0.828	0.809	0.89	0.7	1.275	0.984	0.85	0.786	0.613
YKL013C	ARC19	cell_growth_and/or_maintenance_	structural_protein_	None	None	0.832	0.613	0.543	0.77	0.606	0.775	0.591	0.679	0.572	0.809	0.599	0.66	0.725	1.033	0.74	0.547	0.843	0.618
YKL014C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.912	0.632	0.758	0.82	0.839	0.793	0.71	0.683	0.776	0.93	1.386	1.084	0.757	1.613	1.23	0.919	0.726	0.692
YKL015W	PUT3	transcription_	molecular_function_unknown_	None	None	0.62	0.538	Null	0.518	0.567	0.682	0.631	0.693	0.712	0.858	0.687	0.818	0.72	1.258	0.659	0.696	Null	0.704
YKL016C	ATP7	ATP_synthesis_coupled_proton_transport_	hydrogen-transporting_two-sector_ATPase_	None	None	0.874	0.709	0.823	0.912	Null	0.952	0.633	0.907	0.79	0.935	0.961	1.002	0.848	1.401	0.992	0.795	0.953	Null
YKL018W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.927	0.581	0.529	0.592	Null	0.641	0.516	0.593	0.696	0.814	0.817	0.883	0.754	1.208	0.797	0.736	0.76	0.586
YKL019W	RAM2	protein_prenylation*_	protein_farnesyltransferase_	None	None	0.781	0.714	0.503	0.685	0.51	0.884	0.627	0.589	0.581	0.753	0.556	0.828	0.767	1.082	0.716	0.539	Null	0.616
YKL020C	SPT23	transcription_	transcription_factor_	None	None	0.615	0.533	0.445	0.644	Null	0.612	0.6	0.674	0.709	0.768	Null	0.852	0.645	1.112	1.106	0.945	0.749	Null
YKL021C	MAK11	biological_process_unknown_	molecular_function_unknown_	None	None	0.814	Null	Null	0.435	0.514	0.594	0.677	0.716	0.748	0.857	0.638	1.008	0.751	1.208	0.531	0.564	Null	0.759
YKL022C	CDC16	ubiquitin-dependent_protein_degradation*_	ubiquitin--protein_ligase*_	None	None	0.766	0.597	0.659	0.798	0.942	0.842	0.627	0.847	0.766	0.901	1.146	0.982	0.72	1.457	1.168	0.955	0.901	Null
YKL023W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.689	0.397	0.523	0.533	0.663	0.55	0.734	0.605	0.611	Null	0.556	0.833	0.738	1.056	0.675	0.609	1.142	Null
YKL024C	URA6	"nucleobase,_nucleoside,_nucleotide_and_nucleic_acid_metabolism_"	uridine_kinase_	None	None	0.749	0.614	0.564	0.563	0.711	0.828	0.737	0.621	0.657	0.806	0.722	0.793	0.715	0.864	0.98	0.55	0.943	0.479
YKL025C	PAN3	biological_process_unknown_	poly(A)-specific_ribonuclease_	None	None	0.803	0.384	0.555	0.552	0.675	0.71	0.855	0.661	0.659	0.948	0.552	0.933	0.808	1.042	0.808	0.624	1.099	0.63
YKL027W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.838	0.373	0.497	0.557	0.647	0.559	0.752	0.658	0.685	Null	0.57	0.701	0.702	0.868	0.564	0.555	1.044	0.648
YKL028W	TFA1	transcription_initiation_from_Pol_II_promoter_	general_RNA_polymerase_II_transcription_factor_	None	None	0.748	0.887	0.608	0.662	0.831	0.985	0.745	0.729	0.708	Null	0.814	0.797	0.659	1.06	1.013	0.759	1.147	Null
YKL029C	MAE1	amino_acid_metabolism*_	malate_dehydrogenase_(oxaloacetate_decarboxylating)_	None	None	0.661	0.22	0.277	0.372	0.739	0.686	1.088	0.736	0.796	0.919	0.596	0.945	0.8	1.106	0.735	0.625	0.893	0.549
YKL030W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.613	0.313	0.343	0.503	0.839	0.966	1.072	0.922	0.795	0.922	0.704	0.885	0.784	Null	0.975	0.625	1.028	0.538
YKL032C	IXR1	biological_process_unknown_	molecular_function_unknown_	None	None	0.661	0.408	0.482	0.682	0.926	1.078	0.753	0.75	0.602	0.97	0.769	0.952	0.703	Null	1.024	0.79	1.199	0.598
YKL033W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.837	0.473	0.587	0.674	0.773	0.775	0.772	0.786	0.719	0.969	0.544	0.91	0.75	1.141	0.763	0.636	1.155	0.748
YKL034W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.854	0.697	0.852	0.842	0.935	0.855	0.836	0.891	0.644	0.951	0.836	0.953	0.668	Null	0.954	0.764	1.279	0.637
YKL035W	UGP1	biological_process_unknown_	UTP--glucose-1-phosphate_uridylyltransferase_	S/G2	None	0.54	1.093	0.952	1.142	0.871	0.908	0.844	0.776	0.706	0.873	0.585	0.902	0.807	1.335	1.109	0.928	0.874	0.811
YKL036C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.666	1.076	0.992	1.216	1.193	1.109	0.597	0.971	0.733	0.826	Null	0.874	0.784	1.42	1.424	1.063	1.086	Null
YKL038W	RGT1	glucose_metabolism_	DNA_binding*_	None	None	0.662	0.634	0.611	0.776	0.817	0.771	0.489	0.787	0.706	0.933	Null	0.977	0.708	1.113	1.11	0.857	0.788	Null
YKL039W	PTM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.82	Null	0.907	1.093	0.916	0.852	0.817	0.754	0.712	0.986	0.811	1.029	0.71	1.17	0.786	0.741	0.723	0.772
YKL040C	NFU1	iron_homeostasis_	molecular_function_unknown_	None	None	0.755	0.621	0.608	0.688	Null	0.739	0.513	0.987	0.81	0.952	Null	0.874	0.703	1.011	0.844	0.721	0.876	Null
YKL041W	VPS24	biological_process_unknown_	molecular_function_unknown_	None	None	0.559	1.735	Null	0.65	0.674	0.556	0.616	0.596	0.537	0.935	0.673	0.742	0.628	Null	0.524	0.674	0.605	0.688
YKL043W	PHD1	pseudohyphal_growth_	specific_RNA_polymerase_II_transcription_factor_	G2/M	None	0.559	2.152	0.516	0.436	Null	0.446	Null	0.291	0.288	0.675	0.499	0.615	0.507	0.848	0.609	0.466	0.572	0.469
YKL044W	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.743	1.47	0.548	0.58	Null	0.552	0.409	0.468	0.365	0.744	0.479	0.731	0.635	0.837	0.605	0.489	0.643	0.532
YKL046C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.972	0.924	0.777	1.193	1.138	1.098	0.937	0.964	0.757	0.993	0.819	1.193	1.074	1.2	1.038	0.824	0.952	0.762
YKL047W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.746	0.538	0.492	0.627	0.698	0.777	0.766	0.728	0.622	0.931	0.582	0.798	0.753	0.97	0.837	0.561	1.165	0.627
YKL049C	CSE4	biological_process_unknown_	molecular_function_unknown_	None	None	0.674	0.596	0.58	0.84	0.76	1.066	0.775	0.77	0.519	0.86	0.484	0.951	0.777	1.015	0.769	0.613	1.234	0.644
YKL051W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.272	1.251	0.716	0.534	0.693	0.555	0.823	0.575	0.528	Null	0.414	0.534	0.601	Null	0.662	0.476	1	0.529
YKL052C	ASK1	biological_process_unknown_	molecular_function_unknown_	S/G2	None	0.715	0.429	0.655	0.592	1.115	1.298	0.904	0.723	0.669	Null	Null	0.695	0.605	1.4	0.906	0.627	1.23	Null
YKL053W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.825	0.641	0.521	0.653	0.72	0.923	0.911	0.821	0.57	0.813	0.44	0.807	0.696	1.028	0.816	0.573	1.308	0.568
YKL054C	VID31	biological_process_unknown_	molecular_function_unknown_	None	None	0.785	0.509	0.741	0.862	Null	1.147	0.69	0.73	0.671	0.962	Null	0.934	0.645	1.311	1.07	0.753	1.136	Null
YKL056C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.986	0.687	0.671	0.808	0.866	0.852	0.956	0.82	0.729	1.02	0.722	0.841	0.927	1.202	1.233	0.61	1.655	0.737
YKL057C	NUP120	mRNA-nucleus_export*_	structural_protein_	None	None	0.624	0.36	0.444	0.484	0.663	0.62	0.685	Null	0.498	0.969	0.547	0.865	0.566	0.982	0.706	0.614	0.907	0.478
YKL058W	TOA2	transcription_initiation_from_Pol_II_promoter_	general_RNA_polymerase_II_transcription_factor_	None	None	0.735	0.46	0.498	0.617	0.821	0.659	0.769	0.575	0.534	0.727	0.52	0.673	0.728	0.881	0.819	0.479	1.102	0.507
YKL060C	FBA1	glycolysis*_	fructose-bisphosphate_aldolase_	None	None	1.091	0.8	0.698	1.042	0.892	1.208	0.898	1.101	0.861	1.232	0.911	1.152	0.936	1.532	1.135	0.947	1.17	0.965
YKL062W	MSN4	transcription_	molecular_function_unknown_	None	None	0.845	0.567	Null	0.65	0.805	0.686	0.586	Null	0.526	0.941	0.685	1.208	0.872	Null	0.764	0.647	0.684	0.718
YKL063C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.529	0.57	0.489	0.722	Null	0.893	0.537	0.556	0.565	1.118	0.631	0.906	0.692	0.944	0.681	0.615	0.847	0.573
YKL064W	MNR2	biological_process_unknown_	molecular_function_unknown_	None	None	1.041	1.055	0.604	0.922	0.636	0.804	0.565	0.778	0.605	0.985	0.669	1.011	0.721	1.029	0.867	0.745	0.761	0.765
YKL065C	YET1	biological_process_unknown_	molecular_function_unknown_	S	None	1.119	1.347	1.025	1.254	0.735	1.223	0.939	0.972	0.764	1.338	0.694	1.025	0.815	1.085	0.966	0.758	1.183	0.783
YKL066W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.668	0.595	0.794	1.368	1.222	1.103	0.997	0.569	0.432	0.457	0.529	0.779	0.973	1.122	0.851	0.423	0.718	0.357
YKL067W	YNK1	biological_process_unknown_	nucleoside-diphosphate_kinase_	G1	None	0.56	0.815	0.927	1.599	1.124	1.675	0.911	0.751	0.499	0.801	0.568	1.085	1.061	1.426	0.984	0.602	0.867	0.482
YKL068W	NUP100	mRNA-nucleus_export*_	structural_protein_	None	None	0.772	0.521	0.451	0.742	0.68	0.782	0.741	0.783	0.68	0.953	0.69	0.93	0.703	1.219	0.834	0.818	0.784	0.81
YKL069W	None	biological_process_unknown_	molecular_function_unknown_	S/G2	None	0.544	0.516	Null	0.479	0.827	0.938	0.843	0.805	0.689	0.826	0.436	Null	0.558	0.877	0.753	0.643	0.825	0.653
YKL070W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.789	0.689	0.501	0.622	Null	0.907	0.799	0.711	0.691	0.849	0.565	0.794	0.774	1.244	0.905	0.819	0.977	0.774
YKL071W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.832	0.53	0.568	0.601	Null	0.701	0.789	0.62	0.589	1.036	0.533	0.936	0.73	1.419	0.78	0.681	0.46	Null
YKL072W	STB6	biological_process_unknown_	molecular_function_unknown_	None	None	0.856	0.405	0.488	0.635	0.839	0.701	0.867	0.711	0.62	0.845	0.549	0.851	0.78	1.241	0.831	0.667	1.096	0.654
YKL073W	LHS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.925	0.624	0.831	0.804	1.052	0.867	0.976	0.632	0.632	1.067	0.646	1.156	0.723	1.38	0.832	0.651	1.052	0.581
YKL074C	MUD2	"lariat_formation,_5'-splice_site_cleavage*_"	pre-mRNA_splicing_factor*_	None	None	1.373	0.717	0.882	1.054	1.046	0.975	1.059	0.883	0.744	1.185	0.819	1.236	1.003	1.506	1.08	0.761	1.204	0.932
YKL075C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.665	0.482	0.581	0.757	0.777	0.666	0.79	0.587	0.532	0.96	0.598	0.949	0.63	1.19	0.647	0.62	0.627	0.602
YKL076C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.751	0.577	0.578	0.759	0.841	0.453	0.758	0.782	0.549	0.826	0.517	0.648	0.675	0.85	0.869	0.53	1.3	0.598
YKL077W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.919	0.735	0.805	0.832	0.846	0.824	0.902	0.756	0.694	1.03	0.558	0.891	0.677	1.141	0.889	0.638	0.743	0.601
YKL078W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.892	Null	Null	0.523	0.73	0.569	0.907	0.78	0.752	0.834	0.596	0.699	0.826	1.008	0.808	0.642	1.09	0.64
YKL080W	VMA5	vacuolar_acidification_	hydrogen-transporting_two-sector_ATPase_	None	None	0.931	0.58	0.64	0.81	0.804	0.656	0.784	0.67	0.632	0.976	0.708	0.845	0.835	1.063	0.95	0.623	1.088	0.699
YKL081W	TEF4	protein_synthesis_elongation_	translation_elongation_factor_	None	None	1.11	0.719	0.83	0.844	1.047	0.855	1.008	0.931	0.792	1.096	0.789	1.225	0.969	1.507	1.229	0.838	1.441	0.78
YKL082C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.822	0.297	0.346	0.512	0.732	0.607	0.792	0.72	0.696	0.931	0.656	0.764	0.71	0.848	0.705	0.599	0.954	0.639
YKL084W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.77	0.62	0.461	0.808	0.822	1.036	0.92	0.935	0.76	0.904	0.558	0.75	0.865	0.934	0.846	0.627	0.959	0.594
YKL085W	MDH1	tricarboxylic_acid_cycle*_	malic_enzyme_	None	None	0.639	0.669	0.669	0.766	0.648	0.88	0.781	0.773	0.586	0.898	0.557	0.799	0.67	0.951	0.712	0.553	0.818	0.529
YKL086W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.604	0.437	0.425	0.528	0.7	0.584	0.649	0.679	0.61	0.86	0.533	0.733	0.729	0.951	0.785	0.667	0.768	0.695
YKL087C	CYT2	biological_process_unknown_	molecular_function_unknown_	None	None	0.605	0.528	Null	0.668	0.603	0.789	0.805	0.638	0.576	1.031	0.526	Null	0.717	1.01	0.615	0.647	0.746	0.641
